model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
100 Darter (S.L. Industries),Piston,-0.23130492194072624,-0.7530844417002144,-1.0616257717868025,-0.16351127164638043,-0.317836637564167,-0.49734096609326056,-0.8023937594761761,-1.3870486788503738,-0.290555656199114,-0.2663226417820144,-0.6798093382938653,-0.4004477881102625,-1.0377482211691083,1400000.0
415-G,Piston,-0.3151845833538519,-0.7530844417002144,-1.2275637596550417,-0.40796454027805,-0.317836637564167,-0.6963715682002012,-0.753508893126178,-1.0337046933607306,-0.363124291747799,-0.34742210365832316,-0.6798093382938653,-0.42975166521951,-0.9859554457155933,1150000.0
CH-601-XL/i/650-LS/i,Piston,-0.32916452692270615,-0.8754354537899424,-1.2275637596550417,-0.40796454027805,-0.32085992240847616,-0.7650028103060429,-0.686847711739817,-1.0337046933607306,-0.363124291747799,-0.3491851354382429,-0.6798093382938653,-0.42975166521951,-1.14277246028318,1025000.0
8KCAB-150 F/P prop(w/optional speed kit),Piston,-0.3459404592053313,-0.8754354537899424,-1.2666079920946276,-0.40796454027805,-0.32085992240847616,-0.8363793020961181,-0.6646273179443634,-1.0337046933607306,-0.363124291747799,-0.36681545323744047,-0.6798093382938653,-0.42975166521951,-1.0607672324817814,850000.0
7KCAB,Piston,-0.3599204027741856,-0.8754354537899424,-1.2666079920946276,-0.7746444432255544,-0.32085992240847616,-0.8782443597806815,-0.6112983728352746,-1.0337046933607306,-0.377638018857536,-0.384445771036638,-0.6798093382938653,-0.42975166521951,-1.0377482211691083,700000.0
7GCAA,Piston,-0.4326161093322278,-0.8929141698027606,-0.8956877839185632,-1.4468909319626457,-0.32295296576222865,-0.7375503134637063,-0.8423904683079927,-0.7510295049690161,-0.585668107430433,-0.608350807086447,-1.036234710077722,-1.0939728796957866,-0.7212368156198506,1730000.0
100 Darter (S.L. Industries),Piston,-0.4326161093322278,-0.8841748117963515,-0.934732016358149,-0.6524178089097196,-0.32295296576222865,-0.7650028103060429,-0.22021944203528984,-0.18567912818558707,-0.590506016467012,-0.6136399024262063,-1.043363217513399,-1.0939728796957866,-0.7356236976902715,1600000.0
7GCBC with EDO floats,Piston,-0.4354120980459987,-1.0065258238860793,-1.0128204812373203,-0.6524178089097196,-0.32295296576222865,-0.7993184313589636,0.04642528351015424,0.1676648573040561,-0.590506016467012,-0.6254522153516686,-1.043363217513399,-1.0939728796957866,-0.7931712259719547,1350000.0
7EC,Piston,-0.4270241319046861,-0.8229993057514875,-0.8468824933690811,-1.3857776148047283,-0.3215576035263937,-0.4904778418826764,-0.30376812270619563,-0.29168232383248005,-0.5982466709255384,-0.6365593155651631,-1.0504917249490764,-1.4456194050067563,-0.2824369124720164,1200000.0
Starship 2000 (2000A=increased spds & weights),Piston,-0.39906424476697755,-0.5870366395784409,-0.6126170987315668,-0.5301911745938848,-0.319231999800002,-0.4904778418826764,-0.30376812270619563,-0.29168232383248005,-0.55180274417438,-0.550170758349095,-0.8009939647003765,-0.8595418628218066,-0.7298689448621032,1600000.0
King Air 260,Piston,-0.39906424476697755,-0.857956737777124,-0.8859267258086668,-1.0802110290151414,-0.3194645601726412,-0.4081203513556665,-1.3445713680852458,-1.379981799140581,-0.566316471284117,-0.5713271397081321,-0.8295079944430851,-0.5762710507657475,-0.7197981274128086,1700000.0
B200 Super King Air,Piston,-0.39906424476697755,-0.919132243821988,-0.9444930744680453,-1.4468909319626457,-0.3199296809179195,-0.39439410293449817,-1.2716884764361578,-1.4322767089930482,-0.566316471284117,-0.5871944257274099,-0.8152509795717308,-0.5762710507657475,-0.7197981274128086,1810000.0
100 Darter (S.L. Industries),Piston,-0.39906424476697755,-0.8841748117963515,-0.8859267258086668,-1.0802110290151414,-0.3194645601726412,-0.4081203513556665,-1.3445713680852458,-1.379981799140581,-0.566316471284117,-0.5713271397081321,-0.8223794870074079,-0.6934865592027374,-0.7197981274128086,1700000.0
"B100 King Air (prior '79 serv. ceiling=29,100)",Piston,-0.39906424476697755,-0.8841748117963515,-0.8664046095888739,-1.3246642976468108,-0.32039480166319784,-0.39096254082920606,-1.4138989967270612,-1.471851235367888,-0.566316471284117,-0.5695641079282123,-0.8223794870074079,-0.5958069688385791,-0.6205286411269051,1700000.0
100 Darter (S.L. Industries),Piston,-0.39906424476697755,-1.0240045398988977,-1.0713868298966989,-0.8968710775413892,-0.3194645601726412,-0.6277403260943596,-0.30376812270619563,-0.29168232383248005,-0.55180274417438,-0.5448816630093358,-0.8295079944430851,-0.5665030917293317,-0.9543043051606676,1600000.0
100 King Air,Piston,-0.41863616576337354,-0.919132243821988,-0.9054488420284597,-1.019097711857224,-0.32039480166319784,-0.6792137576737408,-1.183695717006161,-1.3517142803014095,-0.566316471284117,-0.5841972717015463,-0.8223794870074079,-0.6934865592027374,-0.8780538301874373,1200000.0
100 Darter (S.L. Industries),Piston,-0.4326161093322278,-0.8492173797707149,-1.003059423127424,-1.3857776148047283,-0.3224878450169503,-0.6963715682002012,-0.7179562630534522,-1.4577174759483025,-0.585668107430433,-0.6277441566655643,-0.9221785911068878,-0.49812737847442085,-0.8075581080423755,1550000.0
F90 King Air,Piston,-0.44939204161485297,-1.1288768359758072,-1.2178027015451454,-1.3857776148047283,-0.3255111298612595,-0.9022652945177261,-1.0645944062625294,-0.29168232383248005,-0.6079224889986964,-0.6400853791250026,-0.8865360539285022,-0.49812737847442085,-0.9356013584691205,850000.0
"C90A King Air (LJ-1063 up) (10,100 g/w=SN1138 up)",Piston,-0.39347226733943585,-0.40351012144384896,-0.3881127622039489,0.14205531414320652,-0.30992958489443534,-0.38066785451332985,-0.21577536327619912,-0.5672906325144017,-0.35828638271122,-0.31604013797575153,-0.23071336984620555,-0.3027681977461042,-0.3327909997184892,1740000.0
100 Darter (S.L. Industries),Piston,-0.3822883124843524,-0.5782972815720316,-0.593094982511774,-0.4690778574359674,-0.3166738357009712,-0.5934247050414388,-0.44242337998982656,-0.864099580325702,-0.49374783573543196,-0.5325404405498975,-0.879407546492825,-0.9181496170403015,-0.5485942307748011,1380000.0
100 Darter (S.L. Industries),Piston,-0.39906424476697755,-0.6831695776489414,-0.710227679830531,-0.5301911745938848,-0.3199296809179195,-0.7238240650425378,-0.39798259239891925,-0.8923670991648734,-0.513099471881748,-0.5390636581356006,-0.879407546492825,-0.9181496170403015,-0.6953404278930932,1265000.0
