model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
100 Darter (S.L. Industries),Piston,6.396929655216146,4.852030263919617,4.564348191467836,59.0,3.828641396489095,7.3777589082278725,6.756932389247553,6.646390514847729,8.411832675758411,8.058327306580958,5.676753802268282,6.066108090103747,4.997212273764115,14.187074114396758
A-2,Piston,6.1092475827643655,4.852030263919617,4.51085950651685,52.0,3.828641396489095,6.966024187106113,6.993932975223189,7.047517221357296,8.411832675758411,8.039157390473237,5.726847747587197,6.2285110035911835,5.247024072160486,14.187074114396758
100 Darter (S.L. Industries),Piston,6.1092475827643655,4.852030263919617,4.51085950651685,58.0,3.828641396489095,6.897704943128636,7.0431599159883405,6.620073206530356,8.411832675758411,7.962067308753666,5.676753802268282,6.066108090103747,5.247024072160486,14.151982794585487
415-G,Piston,5.703782474656201,4.852030263919617,4.30406509320417,54.0,3.828641396489095,6.551080335043404,7.090076835776092,6.907755278982137,8.229511118964457,7.787382026484701,5.676753802268282,6.059123195581797,5.420534999272286,13.955272500339433
CH-601-XL/i/650-LS/i,Piston,5.616771097666572,4.736198448394496,4.30406509320417,54.0,3.4965075614664802,6.396929655216146,7.150701457592526,6.907755278982137,8.229511118964457,7.783224016336037,5.676753802268282,6.059123195581797,4.762173934797756,13.840203170554645
8KCAB-150 F/P prop(w/optional speed kit),Piston,5.501258210544727,4.736198448394496,4.248495242049359,54.0,3.4965075614664802,6.206575926724928,7.170119543449628,6.907755278982137,8.229511118964457,7.7406644019172415,5.676753802268282,6.059123195581797,5.159055299214529,13.652991628466498
7KCAB,Piston,5.393627546352362,4.736198448394496,4.248495242049359,48.0,3.4965075614664802,6.075346031088684,7.215239978730097,6.907755278982137,8.1886891244442,7.696212639346407,5.676753802268282,6.059123195581797,5.247024072160486,13.458835614025542
7GCAA,Piston,4.499809670330265,4.718498871295094,4.68213122712422,37.0,3.1780538303479458,6.461468176353717,7.003065458786462,7.090076835776092,7.27931883541462,6.835184586147301,5.488937726156687,5.886104031450156,6.016157159698354,14.363631966473962
100 Darter (S.L. Industries),Piston,4.499809670330265,4.727387818712341,4.6443908991413725,50.0,3.1780538303479458,6.396929655216146,7.495541943884256,7.3777589082278725,7.24422751560335,6.802394763324311,5.484796933490655,5.886104031450156,5.991464547107982,14.28551418721001
7GCBC with EDO floats,Piston,4.442651256490317,4.59511985013459,4.564348191467836,50.0,3.1780538303479458,6.309918278226516,7.649692623711514,7.52294091807237,7.24422751560335,6.725033642166843,5.484796933490655,5.886104031450156,5.886104031450156,14.115615150414612
7EC,Piston,4.605170185988092,4.787491742782046,4.727387818712341,38.0,3.4011973816621555,6.907755278982137,7.441906728051625,7.329749689041512,7.1853870155804165,6.646390514847729,5.480638923341991,5.780743515792329,6.5722825426940075,13.997832114758229
Starship 2000 (2000A=increased spds & weights),Piston,5.0106352940962555,4.990432586778736,4.919980925828125,52.0,3.6888794541139363,6.907755278982137,7.441906728051625,7.329749689041512,7.495541943884256,7.138866999945524,5.616771097666572,5.950642552587727,6.0014148779611505,14.28551418721001
King Air 260,Piston,5.0106352940962555,4.7535901911063645,4.6913478822291435,43.0,3.6635616461296463,7.02108396428914,6.282266746896006,6.626717749249025,7.408530566894626,7.038783541388542,5.602118820879701,6.023447592961033,6.018593214496234,14.346138809026444
B200 Super King Air,Piston,5.0106352940962555,4.6913478822291435,4.634728988229636,37.0,3.6109179126442243,7.038783541388542,6.424869023905388,6.576469569048224,7.408530566894626,6.956545443151569,5.60947179518496,6.023447592961033,6.018593214496234,14.408837403242009
100 Darter (S.L. Industries),Piston,5.0106352940962555,4.727387818712341,4.6913478822291435,43.0,3.6635616461296463,7.02108396428914,6.282266746896006,6.626717749249025,7.408530566894626,7.038783541388542,5.605802066295998,5.993961427306569,6.018593214496234,14.346138809026444
"B100 King Air (prior '79 serv. ceiling=29,100)",Piston,5.0106352940962555,4.727387818712341,4.709530201312334,39.0,3.5553480614894135,7.0431599159883405,6.124683390894205,6.536691597591305,7.408530566894626,7.047517221357296,5.605802066295998,6.018593214496234,6.173786103901937,14.346138809026444
100 Darter (S.L. Industries),Piston,5.0106352940962555,4.574710978503383,4.499809670330265,46.0,3.6635616461296463,6.684611727667927,7.441906728051625,7.329749689041512,7.495541943884256,7.162397497355718,5.602118820879701,6.025865973825314,5.5134287461649825,14.28551418721001
100 King Air,Piston,4.74493212836325,4.6913478822291435,4.672828834461906,44.0,3.5553480614894135,6.586171654854675,6.573680166960646,6.652863029353347,7.408530566894626,6.9726062513017535,5.605802066295998,5.993961427306569,5.707110264748875,13.997832114758229
100 Darter (S.L. Industries),Piston,4.499809670330265,4.762173934797756,4.574710978503383,38.0,3.258096538021482,6.551080335043404,7.122866658599083,6.551080335043404,7.27931883541462,6.709304340258298,5.552959584921617,6.042632833682381,5.857933154483459,14.253765488895429
F90 King Air,Piston,4.0943445622221,4.442651256490317,4.31748811353631,38.0,2.5649493574615367,5.991464547107982,6.745236349484363,7.329749689041512,7.106606137727303,6.620073206530356,5.572154032177765,6.042632833682381,5.564520407322694,13.652991628466498
"C90A King Air (LJ-1063 up) (10,100 g/w=SN1138 up)",Piston,5.075173815233827,5.123963979403259,5.075173815233827,63.0,4.382026634673881,7.05617528410041,7.498315870766981,7.1929342212158,8.242756345714477,7.858640655620791,5.872117789475416,6.089044875446846,6.522092798170152,14.369395671190711
100 Darter (S.L. Industries),Piston,5.19295685089021,4.997212273764115,4.9344739331306915,53.0,3.9318256327243257,6.745236349484363,7.346010209913293,7.02108396428914,7.783224016336037,7.215239978730097,5.575949103146316,5.934894195619588,6.272877006546167,14.137594057133388
100 Darter (S.L. Industries),Piston,5.0106352940962555,4.912654885736052,4.844187086458591,52.0,3.6109179126442243,6.492239835020471,7.3777589082278725,7.003065458786462,7.696212639346407,7.187657164114956,5.575949103146316,5.934894195619588,6.059123195581797,14.050582680143757
A 90 King Air,Piston,5.0106352940962555,4.867534450455582,4.804021044733257,50.0,3.6375861597263857,6.492239835020471,7.3777589082278725,7.003065458786462,7.696212639346407,7.147559271189454,5.575949103146316,5.932245187448011,6.220590170099739,14.050582680143757
100 Darter (S.L. Industries),Piston,4.68213122712422,4.787491742782046,4.68213122712422,52.0,3.1780538303479458,6.558197802812269,7.371489295214277,7.003065458786462,7.352441100243583,6.882437470997847,5.438079308923196,5.680172609017068,5.8522024797744745,14.058456736574664
88 Queen Air pressurized,Piston,4.68213122712422,4.787491742782046,4.6913478822291435,51.0,3.1780538303479458,6.639875833826536,7.24422751560335,6.970730078143525,7.313220387090301,6.914730892718563,5.442417710521793,5.680172609017068,5.857933154483459,14.133964289082808
B 80 Queen Air - specs thru 1972,Piston,4.605170185988092,4.499809670330265,4.430816798843313,33.0,2.995732273553991,6.551080335043404,7.441906728051625,7.329749689041512,7.1853870155804165,6.739336627357174,5.594711379601839,6.054439346269371,5.616771097666572,14.22097566607244
80 Queen Air,Piston,5.19295685089021,4.836281906951478,4.727387818712341,36.0,3.9512437185814275,7.313220387090301,7.441906728051625,7.329749689041512,7.495541943884256,7.081708586105575,5.602118820879701,6.054439346269371,6.54534966033442,14.508657738524219
A 65 Queen Air,Piston,6.396929655216146,4.804021044733257,4.564348191467836,61.0,3.9889840465642745,6.907755278982137,7.090076835776092,6.684611727667927,8.699514748210191,8.131530710604252,5.863631175598097,6.2766434893416445,5.616771097666572,14.22097566607244
B 60 Duke pressurized (prior '78 t/o run=2006),Piston,6.396929655216146,4.804021044733257,4.68213122712422,57.0,4.605170185988092,6.802394763324311,7.441906728051625,7.329749689041512,8.699514748210191,8.216088098632316,5.863631175598097,6.2766434893416445,5.616771097666572,14.22097566607244
60 Duke Pressurized,Propjet,6.620073206530356,4.927253685157205,4.867534450455582,57.0,5.247024072160486,7.461640392208575,7.441906728051625,7.329749689041512,8.699514748210191,8.1886891244442,5.981414211254481,6.278521424165844,6.300785794663244,14.73180128983843
100 Darter (S.L. Industries),Propjet,6.956545443151569,5.062595033026967,4.836281906951478,52.0,5.375278407684165,6.476972362889683,7.441906728051625,7.329749689041512,9.433483923290392,8.67060073804555,5.996452088619021,6.082218910376446,6.396929655216146,13.592367006650065
C 50 Twin Bonanza,Propjet,7.090076835776092,5.814130531825066,5.793013608384144,56.0,6.327936783729195,8.078688229229872,8.262558973010657,7.874739125171811,9.574983485564092,9.198976041897133,6.315358001522335,6.481577129276431,7.451241684987676,15.062542851750656
50 Twin Bonanza,Propjet,6.956545443151569,5.749392985908253,5.713732805509369,56.0,6.289715570908998,7.999342952713282,7.441906728051625,7.827240901752812,9.615805480084347,9.11063052782717,6.327936783729195,6.543911845564792,7.583756300707112,15.068273526459642
58 P Baron-press.('77 hgt=9/6) (range based on 190 gal fuel),Propjet,6.745236349484363,5.736572297479192,5.556828061699537,80.0,8.201111644442758,7.798523053625206,7.441906728051625,7.329749689041512,9.440658127038393,9.085910293598007,6.26530121273771,6.543911845564792,7.450079569807499,15.068273526459642
